ཀ་ཀོ་ལའི,ཀ་ཀོ་ལ
བསྐོལ་བའི,བསྐོལ་བ
བསྐོལ་བས,བསྐོལ་བ
བསྐོས་པའི,བསྐོས་པ
བསྐྱངས་པའི,བསྐྱངས་པ
བསྐྱངས་པར,བསྐྱངས་པ
བསྐྱངས་པས,བསྐྱངས་པ
བསྐྱར་མའི,བསྐྱར་མ
བསྐྱུར་བའི,བསྐྱུར་བ
བསྐྱུར་བས,བསྐྱུར་བ
བསྐྱེད་པའི,བསྐྱེད་པ
བསྐྱེད་པར,བསྐྱེད་པ
བསྐྱེད་པས,བསྐྱེད་པ
བསྐྱོད་པའི,བསྐྱོད་པ
བསྐྱོད་པར,བསྐྱོད་པ
བསྐྱོན་པའི,བསྐྱོན་པ
བསྐྱོན་པར,བསྐྱོན་པ
བསྐྱོན་པས,བསྐྱོན་པ
བསྐྲུན་པའི,བསྐྲུན་པ
བསྐྲུན་པར,བསྐྲུན་པ
བསྐྲུན་པས,བསྐྲུན་པ
ཁ་ཁར,ཁ་ཁ
ཁ་ཆར,ཁ་ཆ
ཁ་ཏའི,ཁ་ཏ
ཁ་བརྡའི,ཁ་བརྡ
ཁ་བརྡར,ཁ་བརྡ
ཁ་པའི,ཁ་པ
ཁ་པར,ཁ་པ
ཁ་པས,ཁ་པ
ཁ་བའི,ཁ་བ
ཁ་བས,ཁ་བ
ཁ་བྱས,ཁ་བྱ
ཁ་ཚ་བའི,ཁ་ཚ་བ
ཁ་ཚར,ཁ་ཚ
ཁ་ཡར,ཁ་ཡ
ཁ་རས,ཁ་ར
ཁ་ལོ་པས,ཁ་ལོ་པ
ཁ་ཤས,ཁ་ཤ
ཁང་པའི,ཁང་པ
ཁང་པས,ཁང་པ
ཁམས་པའི,ཁམས་པ
ཁམས་པས,ཁམས་པ
ཁལ་ཁའི,ཁལ་ཁ
ཁལ་པའི,ཁལ་པ
ཁུ་བའི,ཁུ་བ
ཁུ་བར,ཁུ་བ
ཁུ་བས,ཁུ་བ
ཁུག་པར,ཁུག་པ
ཁུག་མར,ཁུག་མ
ཁུར་བའི,ཁུར་བ
ཁུར་བས,ཁུར་བ
ཁེངས་པའི,ཁེངས་པ
ཁེངས་པས,ཁེངས་པ
ཁེབས་པའི,ཁེབས་པ
ཁེལ་བའི,ཁེལ་བ
ཁེལ་བར,ཁེལ་བ
ཁེལ་བས,ཁེལ་བ
ཁོ་ནའི,ཁོ་ན
ཁོ་ནར,ཁོ་ན
ཁོ་ནས,ཁོ་ན
ཁོ་པར,ཁོ་པ
ཁོ་པས,ཁོ་པ
ཁོག་པའི,ཁོག་པ
ཁོང་མར,ཁོང་མ
ཁོལ་མའི,ཁོལ་མ
ཁྭ་ཏའི,ཁྭ་ཏ
ཁྭ་ཏས,ཁྭ་ཏ
ཁྱབ་པའི,ཁྱབ་པ
ཁྱབ་པར,ཁྱབ་པ
ཁྱབ་པས,ཁྱབ་པ
ཁྱིམ་པའི,ཁྱིམ་པ
ཁྱེད་པར,ཁྱེད་པ
ཁྱེར་བའི,ཁྱེར་བ
ཁྱོ་གའི,ཁྱོ་ག
ཁྱོ་གས,ཁྱོ་ག
ཁྱོར་བར,ཁྱོར་བ
ཁྲ་ཁྲས,ཁྲ་ཁྲ
ཁྲག་རྩའི,ཁྲག་རྩ
ཁྲི་པའི,ཁྲི་པ
ཁྲིད་པའི,ཁྲིད་པ
ཁྲིད་པར,ཁྲིད་པ
ཁྲིམས་རར,ཁྲིམས་ར
ཁྲོམ་རའི,ཁྲོམ་ར
ཁྲོམ་རར,ཁྲོམ་ར
མཁལ་མའི,མཁལ་མ
མཁས་པའི,མཁས་པ
མཁས་པར,མཁས་པ
མཁས་པས,མཁས་པ
མཁོ་བའི,མཁོ་བ
མཁོ་བར,མཁོ་བ
མཁོ་བས,མཁོ་བ
མཁྱེན་པའི,མཁྱེན་པ
མཁྱེན་པར,མཁྱེན་པ
མཁྱེན་པས,མཁྱེན་པ
མཁྲེགས་པའི,མཁྲེགས་པ
འཁན་པས,འཁན་པ
འཁར་བར,འཁར་བ
འཁུ་བའི,འཁུ་བ
འཁུམས་པའི,འཁུམས་པ
འཁུར་བའི,འཁུར་བ
འཁུར་བར,འཁུར་བ
འཁེལ་བའི,འཁེལ་བ
འཁོགས་པའི,འཁོགས་པ
འཁོད་པའི,འཁོད་པ
འཁོད་པར,འཁོད་པ
འཁོད་པས,འཁོད་པ
འཁོར་བའི,འཁོར་བ
འཁོར་བར,འཁོར་བ
འཁོར་བས,འཁོར་བ
འཁོལ་བའི,འཁོལ་བ
འཁོལ་བས,འཁོལ་བ
འཁྱག་པས,འཁྱག་པ
འཁྱགས་པའི,འཁྱགས་པ
འཁྱགས་པས,འཁྱགས་པ
འཁྱམས་པའི,འཁྱམས་པ
འཁྱུགས་པའི,འཁྱུགས་པ
འཁྱོངས་པའི,འཁྱོངས་པ
འཁྱོངས་པར,འཁྱོངས་པ
འཁྱོམ་པར,འཁྱོམ་པ
འཁྱོམས་པས,འཁྱོམས་པ
འཁྱོལ་བའི,འཁྱོལ་བ
འཁྲབ་པའི,འཁྲབ་པ
འཁྲི་བའི,འཁྲི་བ
འཁྲིགས་པའི,འཁྲིགས་པ
འཁྲིད་པའི,འཁྲིད་པ
འཁྲིད་པར,འཁྲིད་པ
འཁྲུགས་པའི,འཁྲུགས་པ
འཁྲུགས་པས,འཁྲུགས་པ
འཁྲུང་བར,འཁྲུང་བ
འཁྲུངས་པའི,འཁྲུངས་པ
འཁྲུངས་པར,འཁྲུངས་པ
འཁྲུངས་པས,འཁྲུངས་པ
འཁྲུད་པའི,འཁྲུད་པ
འཁྲུལ་བའི,འཁྲུལ་བ
འཁྲུལ་བར,འཁྲུལ་བ
འཁྲོལ་བའི,འཁྲོལ་བ
འཁྲོལ་བར,འཁྲོལ་བ
ག་འདྲའི,ག་འདྲ
ག་སར,ག་ས
གང་གར,གང་ག
གང་དགར,གང་དག
གང་འདྲས,གང་འདྲ
གང་བའི,གང་བ
གང་བར,གང་བ
གང་བས,གང་བ
གང་སར,གང་ས
གད་པའི,གད་པ
གན་རྒྱའི,གན་རྒྱ
གབ་པར,གབ་པ
གམ་པའི,གམ་པ
གར་བར,གར་བ
གར་ཤར,གར་ཤ
གུག་པར,གུག་པ
གུང་ཟས,གུང་ཟ
གུས་པའི,གུས་པ
གུས་པར,གུས་པ
གུས་པས,གུས་པ
གོ་བའི,གོ་བ
གོ་བར,གོ་བ
གོ་བས,གོ་བ
གོ་བེ་ལར,གོ་བེ་ལ
གོ་ལའི,གོ་ལ
གོ་ལར,གོ་ལ
གོ་སར,གོ་ས
གོང་བར,གོང་བ
གོང་མའི,གོང་མ
གོང་མར,གོང་མ
གོང་མས,གོང་མ
གོམས་པའི,གོམས་པ
གོམས་པར,གོམས་པ
གོས་པའི,གོས་པ
གྱར་བའི,གྱར་བ
གྱར་བར,གྱར་བ
གྱུར་པའི,གྱུར་པ
གྱུར་པར,གྱུར་པ
གྱུར་པས,གྱུར་པ
གྱེར་བའི,གྱེར་བ
གྱེར་བས,གྱེར་བ
གྱེས་པའི,གྱེས་པ
གྱེས་པར,གྱེས་པ
གྱོན་པའི,གྱོན་པ
གྱོན་པར,གྱོན་པ
གྲག་པའི,གྲག་པ
གྲགས་པའི,གྲགས་པ
གྲགས་པར,གྲགས་པ
གྲགས་པས,གྲགས་པ
གྲང་བའི,གྲང་བ
གྲང་བས,གྲང་བ
གྲིབ་མའི,གྲིབ་མ
གྲིབ་མས,གྲིབ་མ
གྲུ་ཁར,གྲུ་ཁ
གྲུབ་མཐའི,གྲུབ་མཐའ
