ཀ་ཀོ་ལའི,ཀ་ཀོ་ལ
བཅངས་པའི,བཅངས་པ
བཅངས་པར,བཅངས་པ
བཅད་པའི,བཅད་པ
བཅད་པར,བཅད་པ
བཅད་པས,བཅད་པ
བཅའ་བའི,བཅའ་བ
བཅར་བའི,བཅར་བ
བཅས་པའི,བཅས་པ
བཅས་པར,བཅས་པ
བཅས་པས,བཅས་པ
བཅིངས་པའི,བཅིངས་པ
བཅུ་ཆའི,བཅུ་ཆ
བཅུག་པའི,བཅུག་པ
བཅུག་པར,བཅུག་པ
བཅུག་པས,བཅུག་པ
བཅོ་ལྔའི,བཅོ་ལྔ
བཅོ་ལྔར,བཅོ་ལྔ
བཅོམ་པའི,བཅོམ་པ
བཅོམ་པས,བཅོམ་པ
བཅོལ་བའི,བཅོལ་བ
བཅོས་པའི,བཅོས་པ
བཅོས་པར,བཅོས་པ
བཅོས་པས,བཅོས་པ
བཅོས་མའི,བཅོས་མ
བཅོས་མས,བཅོས་མ
ལྕང་སྐྱའི,ལྕང་སྐྱ
ལྕང་མའི,ལྕང་མ
ལྕི་བའི,ལྕི་བ
ལྕེབས་པའི,ལྕེབས་པ
ཆ་གས,ཆ་ག
ཆག་པའི,ཆག་པ
ཆག་པར,ཆག་པ
ཆགས་པའི,ཆགས་པ
ཆགས་པར,ཆགས་པ
ཆགས་པས,ཆགས་པ
ཆད་པའི,ཆད་པ
ཆད་པར,ཆད་པ
ཆབ་ཆའི,ཆབ་ཆ
ཆར་པའི,ཆར་པ
ཆར་པར,ཆར་པ
ཆར་པས,ཆར་པ
ཆས་པའི,ཆས་པ
ཆུ་ཁའི,ཆུ་ཁ
ཆུ་ཁར,ཆུ་ཁ
ཆུ་བར,ཆུ་བ
ཆུ་ལྷའི,ཆུ་ལྷ
ཆུ་ལྷར,ཆུ་ལྷ
ཆུང་བའི,ཆུང་བ
ཆུང་བར,ཆུང་བ
ཆུང་བས,ཆུང་བ
ཆུང་མར,ཆུང་མ
ཆུད་པའི,ཆུད་པ
ཆུད་པར,ཆུད་པ
ཆུབ་པར,ཆུབ་པ
ཆེ་བའི,ཆེ་བ
ཆེ་བར,ཆེ་བ
ཆེ་བས,ཆེ་བ
ཆེ་སའི,ཆེ་ས
ཆེ་སར,ཆེ་ས
ཆེན་མའི,ཆེན་མ
ཆེས་པའི,ཆེས་པ
ཆེས་པས,ཆེས་པ
ཆོ་གའི,ཆོ་ག
ཆོ་གར,ཆོ་ག
ཆོག་པའི,ཆོག་པ
ཆོག་པར,ཆོག་པ
ཆོག་པས,ཆོག་པ
ཆོད་པའི,ཆོད་པ
ཆོད་པར,ཆོད་པ
ཆོལ་ཁའི,ཆོལ་ཁ
ཆོལ་ཁས,ཆོལ་ཁ
ཆོས་གྲྭའི,ཆོས་གྲྭ
ཆོས་གྲྭར,ཆོས་གྲྭ
ཆོས་པའི,ཆོས་པ
ཆོས་པས,ཆོས་པ
ཆོས་རའི,ཆོས་ར
ཆོས་རར,ཆོས་ར
མཆད་པའི,མཆད་པ
མཆི་མའི,མཆི་མ
མཆི་མས,མཆི་མ
མཆིན་པའི,མཆིན་པ
མཆིལ་མས,མཆིལ་མ
མཆིས་པའི,མཆིས་པ
མཆིས་པས,མཆིས་པ
མཆེད་པའི,མཆེད་པ
མཆེད་པར,མཆེད་པ
མཆོག་དགར,མཆོག་དགའ
མཆོང་བའི,མཆོང་བ
མཆོད་པའི,མཆོད་པ
མཆོད་པར,མཆོད་པ
མཆོད་པས,མཆོད་པ
འཆང་བའི,འཆང་བ
འཆད་པའི,འཆད་པ
འཆད་པར,འཆད་པ
འཆའ་བའི,འཆའ་བ
འཆར་བའི,འཆར་བ
འཆར་བར,འཆར་བ
འཆར་བས,འཆར་བ
འཆི་ཁའི,འཆི་ཁ
འཆི་ཁར,འཆི་ཁ
འཆི་བའི,འཆི་བ
འཆི་བར,འཆི་བ
འཆིང་རྒྱར,འཆིང་རྒྱ
འཆིང་བའི,འཆིང་བ
འཆིང་བར,འཆིང་བ
འཆོར་བའི,འཆོར་བ
འཆོས་པའི,འཆོས་པ
འཆོས་པར,འཆོས་པ
ཇ་མར,ཇ་མ
ཇག་པས,ཇག་པ
ཇི་ལྟར,ཇི་ལྟ
མཇལ་བའི,མཇལ་བ
མཇལ་བར,མཇལ་བ
མཇལ་བས,མཇལ་བ
འཇགས་པའི,འཇགས་པ
འཇགས་པར,འཇགས་པ
འཇམ་པའི,འཇམ་པ
འཇལ་བའི,འཇལ་བ
འཇིག་པའི,འཇིག་པ
འཇིམ་པའི,འཇིམ་པ
འཇུ་བར,འཇུ་བ
འཇུག་པའི,འཇུག་པ
འཇུག་པར,འཇུག་པ
འཇུག་པས,འཇུག་པ
འཇེབས་པའི,འཇེབས་པ
འཇོ་བའི,འཇོ་བ
འཇོག་པའི,འཇོག་པ
འཇོག་པར,འཇོག་པ
འཇོག་པས,འཇོག་པ
འཇོམས་པའི,འཇོམས་པ
འཇོམས་པར,འཇོམས་པ
རྗུད་པའི,རྗུད་པ
རྗེན་པར,རྗེན་པ
རྗེན་པས,རྗེན་པ
རྗེས་མའི,རྗེས་མ
རྗེས་མར,རྗེས་མ
ལྗིད་པའི,ལྗིད་པ
ལྗོན་པའི,ལྗོན་པ
བརྗིད་པའི,བརྗིད་པ
བརྗེ་བའི,བརྗེ་བ
བརྗེད་པའི,བརྗེད་པ
བརྗེད་པར,བརྗེད་པ
བརྗེས་པའི,བརྗེས་པ
བརྗོད་པའི,བརྗོད་པ
བརྗོད་པར,བརྗོད་པ
བརྗོད་པས,བརྗོད་པ
བརྗོད་བྱའི,བརྗོད་བྱ
བརྗོད་བྱར,བརྗོད་བྱ
བརྗོད་བྱས,བརྗོད་བྱ
ཉན་པའི,ཉན་པ
ཉན་པར,ཉན་པ
ཉམ་ངའི,ཉམ་ང
ཉམས་པའི,ཉམས་པ
ཉམས་པར,ཉམས་པ
ཉམས་པས,ཉམས་པ
ཉར་བའི,ཉར་བ
ཉར་བར,ཉར་བ
ཉལ་བའི,ཉལ་བ
ཉལ་བས,ཉལ་བ
ཉལ་སའི,ཉལ་ས
ཉི་མའི,ཉི་མ
ཉི་མར,ཉི་མ
ཉི་མས,ཉི་མ
ཉི་ཚེ་བའི,ཉི་ཚེ་བ
ཉི་ཟླའི,ཉི་ཟླ
ཉི་ཟླར,ཉི་ཟླ
ཉི་ཟླས,ཉི་ཟླ
ཉིན་པའི,ཉིན་པ
ཉིན་པར,ཉིན་པ
ཉིན་ཤར,ཉིན་ཤ
ཉིན་ཤས,ཉིན་ཤ
ཉུང་མཐར,ཉུང་མཐའ
ཉུང་བའི,ཉུང་བ
ཉུང་བར,ཉུང་བ
ཉུང་བས,ཉུང་བ
ཉུལ་བའི,ཉུལ་བ
ཉེ་བའི,ཉེ་བ
ཉེ་བར,ཉེ་བ
ཉེ་བས,ཉེ་བ
ཉེ་སའི,ཉེ་ས
ཉེ་སར,ཉེ་ས
ཉེན་ཁའི,ཉེན་ཁ
ཉེན་ཁར,ཉེན་ཁ
ཉེས་པའི,ཉེས་པ
ཉེས་པར,ཉེས་པ
ཉོ་བའི,ཉོ་བ
ཉོ་བར,ཉོ་བ
ཉོས་པའི,ཉོས་པ
ཉོས་པར,ཉོས་པ
གཉན་པའི,གཉན་པ
གཉན་པས,གཉན་པ
གཉའ་བར,གཉའ་བ
གཉི་གའི,གཉི་ག
གཉི་གར,གཉི་ག
གཉིས་ཀའི,གཉིས་ཀ
གཉིས་ཀར,གཉིས་ཀ
གཉིས་ཀས,གཉིས་ཀ
གཉེར་པའི,གཉེར་པ
གཉེར་བའི,གཉེར་བ
གཉེར་བར,གཉེར་བ
གཉེར་མའི,གཉེར་མ
མཉམ་པའི,མཉམ་པ
མཉམ་པར,མཉམ་པ
མཉེན་པའི,མཉེན་པ
མཉེན་པར,མཉེན་པ
མཉེས་པའི,མཉེས་པ
མཉེས་པར,མཉེས་པ
མཉེས་པས,མཉེས་པ
རྙིང་པའི,རྙིང་པ
རྙིང་པས,རྙིང་པ
རྙིང་མའི,རྙིང་མ
རྙིང་མར,རྙིང་མ
རྙིད་པར,རྙིད་པ
རྙེད་པའི,རྙེད་པ
རྙེད་པར,རྙེད་པ
རྙེད་པས,རྙེད་པ
རྙོག་པའི,རྙོག་པ
སྙན་པའི,སྙན་པ
སྙན་པས,སྙན་པ
སྙམ་པའི,སྙམ་པ
སྙམ་པར,སྙམ་པ
སྙམ་པས,སྙམ་པ
སྙི་བས,སྙི་བ
སྙིགས་མའི,སྙིགས་མ
སྙིང་ཁར,སྙིང་ཁ
སྙིང་གར,སྙིང་ག
སྙེ་མའི,སྙེ་མ
སྙེམས་པའི,སྙེམས་པ
སྙོམ་པར,སྙོམ་པ
སྙོམས་པའི,སྙོམས་པ
སྙོམས་པར,སྙོམས་པ
སྙོམས་པས,སྙོམས་པ
སྙོལ་རྫའི,སྙོལ་རྫ
བརྙན་པར,བརྙན་པ
བརྙེས་པའི,བརྙེས་པ
བསྙད་པའི,བསྙད་པ
བསྙད་པར,བསྙད་པ
བསྙལ་བའི,བསྙལ་བ
བསྙལ་བས,བསྙལ་བ
བསྙིལ་བར,བསྙིལ་བ
བསྙེགས་པའི,བསྙེགས་པ
བསྙེན་པའི,བསྙེན་པ
བསྙོར་བའི,བསྙོར་བ
ཏ་ལའི,ཏ་ལ
ཏཱ་ལའི,ཏཱ་ལ
གཏམས་པའི,གཏམས་པ
གཏའ་མར,གཏའ་མ
གཏུགས་པའི,གཏུགས་པ
གཏུགས་པས,གཏུགས་པ
གཏུབ་པའི,གཏུབ་པ
གཏུབས་པའི,གཏུབས་པ
གཏེར་ཁའི,གཏེར་ཁ
གཏེར་མའི,གཏེར་མ
གཏོགས་པའི,གཏོགས་པ
གཏོགས་པར,གཏོགས་པ
གཏོགས་པས,གཏོགས་པ
གཏོང་བའི,གཏོང་བ
གཏོང་བར,གཏོང་བ
གཏོང་བས,གཏོང་བ
གཏོད་པར,གཏོད་པ
གཏོད་པས,གཏོད་པ
གཏོར་བའི,གཏོར་བ
གཏོར་བར,གཏོར་བ
གཏོར་བས,གཏོར་བ
བཏགས་པའི,བཏགས་པ
བཏགས་པར,བཏགས་པ
བཏགས་པས,བཏགས་པ
བཏང་བའི,བཏང་བ
བཏང་བར,བཏང་བ
བཏང་བས,བཏང་བ
བཏབ་པའི,བཏབ་པ
བཏབ་པར,བཏབ་པ
བཏབ་པས,བཏབ་པ
བཏམས་པའི,བཏམས་པ
བཏིང་བའི,བཏིང་བ
བཏུ་བའི,བཏུ་བ
བཏུང་བའི,བཏུང་བ
བཏུངས་པས,བཏུངས་པ
བཏུམས་པའི,བཏུམས་པ
བཏུལ་བའི,བཏུལ་བ
བཏུལ་བས,བཏུལ་བ
བཏུས་པས,བཏུས་པ
བཏོད་པའི,བཏོད་པ
བཏོད་པར,བཏོད་པ
བཏོད་པས,བཏོད་པ
བཏོན་པའི,བཏོན་པ
བཏོན་པར,བཏོན་པ
བཏོན་པས,བཏོན་པ
རྟ་རྔས,རྟ་རྔ
རྟ་པས,རྟ་པ
རྟ་ལས,རྟ་ལ
རྟག་པའི,རྟག་པ
རྟག་པར,རྟག་པ
རྟགས་མའི,རྟགས་མ
རྟེན་པའི,རྟེན་པ
རྟེན་སའི,རྟེན་ས
རྟོག་པའི,རྟོག་པ
རྟོག་པས,རྟོག་པ
རྟོགས་པའི,རྟོགས་པ
རྟོགས་པར,རྟོགས་པ
ལྟ་བའི,ལྟ་བ
ལྟ་བར,ལྟ་བ
ལྟ་བས,ལྟ་བ
ལྟག་པའི,ལྟག་པ
ལྟག་པར,ལྟག་པ
ལྟེ་བའི,ལྟེ་བ
ལྟེ་བར,ལྟེ་བ
ལྟོ་བའི,ལྟོ་བ
ལྟོ་བར,ལྟོ་བ
ལྟོགས་པས,ལྟོགས་པ
ལྟོས་པའི,ལྟོས་པ
ལྟོས་པར,ལྟོས་པ
སྟག་ཤར,སྟག་ཤ
སྟར་གའི,སྟར་ག
སྟར་བར,སྟར་བ
སྟེར་བའི,སྟེར་བ
སྟེར་བར,སྟེར་བ
སྟེར་བས,སྟེར་བ
སྟོང་ཆར,སྟོང་ཆ
སྟོང་པའི,སྟོང་པ
སྟོང་པར,སྟོང་པ
སྟོན་ཀར,སྟོན་ཀ
སྟོན་ཁའི,སྟོན་ཁ
སྟོན་ཁར,སྟོན་ཁ
སྟོན་པའི,སྟོན་པ
སྟོན་པར,སྟོན་པ
སྟོན་པས,སྟོན་པ
བརྟན་པའི,བརྟན་པ
བརྟན་པར,བརྟན་པ
བརྟས་པའི,བརྟས་པ
བརྟེན་པའི,བརྟེན་པ
བརྟེན་པར,བརྟེན་པ
བརྟེན་པས,བརྟེན་པ
བརྟོལ་བའི,བརྟོལ་བ
བརྟོལ་བས,བརྟོལ་བ
བལྟ་བའི,བལྟ་བ
བལྟ་བར,བལྟ་བ
བལྟམས་པའི,བལྟམས་པ
བསྟན་པའི,བསྟན་པ
བསྟན་པར,བསྟན་པ
བསྟན་པས,བསྟན་པ
བསྟན་མས,བསྟན་མ
བསྟབས་པའི,བསྟབས་པ
བསྟར་བའི,བསྟར་བ
བསྟར་བར,བསྟར་བ
བསྟར་བས,བསྟར་བ
བསྟིམས་པའི,བསྟིམས་པ
བསྟུད་མར,བསྟུད་མ
བསྟུན་པའི,བསྟུན་པ
བསྟུན་པར,བསྟུན་པ
བསྟེན་པའི,བསྟེན་པ
བསྟེན་པར,བསྟེན་པ
བསྟོད་པའི,བསྟོད་པ
བསྟོད་པར,བསྟོད་པ
ཐ་མའི,ཐ་མ
ཐ་མར,ཐ་མ
ཐག་པར,ཐག་པ
ཐག་པས,ཐག་པ
ཐང་གའི,ཐང་ག
ཐང་གར,ཐང་ག
ཐང་མའི,ཐང་མ
ཐང་མར,ཐང་མ
ཐང་མས,ཐང་མ
ཐད་ཀའི,ཐད་ཀ
ཐད་ཀར,ཐད་ཀ
ཐན་པའི,ཐན་པ
ཐབ་ཀའི,ཐབ་ཀ
ཐབ་ལས,ཐབ་ལ
ཐམ་གའི,ཐམ་ག
ཐར་པའི,ཐར་པ
ཐར་པར,ཐར་པ
ཐར་བའི,ཐར་བ
ཐར་བར,ཐར་བ
ཐར་བས,ཐར་བ
ཐལ་བའི,ཐལ་བ
ཐལ་བར,ཐལ་བ
ཐིག་རྩས,ཐིག་རྩ
ཐིམ་པའི,ཐིམ་པ
ཐིམ་པར,ཐིམ་པ
ཐིམ་པས,ཐིམ་པ
ཐུག་པའི,ཐུག་པ
ཐུག་པར,ཐུག་པ
ཐུག་པས,ཐུག་པ
ཐུང་བའི,ཐུང་བ
ཐུང་བས,ཐུང་བ
ཐུབ་པའི,ཐུབ་པ
ཐུབ་པར,ཐུབ་པ
ཐུབ་པས,ཐུབ་པ
ཐུལ་བའི,ཐུལ་བ
ཐེ་བའི,ཐེ་བ
ཐེག་པའི,ཐེག་པ
ཐེག་པར,ཐེག་པ
ཐེབས་པའི,ཐེབས་པ
ཐེབས་པར,ཐེབས་པ
ཐེབས་པས,ཐེབས་པ
ཐེབས་རྩའི,ཐེབས་རྩ
ཐེབས་རྩས,ཐེབས་རྩ
ཐེམས་པའི,ཐེམས་པ
ཐེར་མས,ཐེར་མ
ཐོ་བའི,ཐོ་བ
ཐོ་བར,ཐོ་བ
ཐོག་མའི,ཐོག་མ
ཐོག་མར,ཐོག་མ
ཐོགས་པའི,ཐོགས་པ
ཐོགས་པར,ཐོགས་པ
ཐོད་པའི,ཐོད་པ
ཐོད་པར,ཐོད་པ
ཐོན་པའི,ཐོན་པ
ཐོན་པར,ཐོན་པ
ཐོན་པས,ཐོན་པ
ཐོབ་པའི,ཐོབ་པ
ཐོབ་པར,ཐོབ་པ
ཐོབ་པས,ཐོབ་པ
ཐོར་བའི,ཐོར་བ
ཐོར་བས,ཐོར་བ
ཐོས་པའི,ཐོས་པ
ཐོས་པར,ཐོས་པ
ཐོས་པས,ཐོས་པ
མཐའ་མའི,མཐའ་མ
མཐའ་མར,མཐའ་མ
མཐའ་ཡས་པའི,མཐའ་ཡས་པ
མཐའ་ཡས་པས,མཐའ་ཡས་པ
མཐུག་པའི,མཐུག་པ
མཐུག་པས,མཐུག་པ
མཐུན་པའི,མཐུན་པ
མཐུན་པར,མཐུན་པ
མཐུན་པས,མཐུན་པ
མཐོ་བའི,མཐོ་བ
མཐོ་བར,མཐོ་བ
མཐོ་བས,མཐོ་བ
མཐོང་བའི,མཐོང་བ
མཐོང་བར,མཐོང་བ
མཐོང་བས,མཐོང་བ
འཐག་པའི,འཐག་པ
འཐག་པར,འཐག་པ
འཐད་པའི,འཐད་པ
འཐད་པར,འཐད་པ
འཐབ་པའི,འཐབ་པ
འཐབ་མོ་བར,འཐབ་མོ་བ
འཐམས་པའི,འཐམས་པ
འཐིབས་པའི,འཐིབས་པ
འཐིབས་པར,འཐིབས་པ
འཐིབས་པས,འཐིབས་པ
འཐུ་བའི,འཐུ་བ
འཐུ་བར,འཐུ་བ
འཐུང་བའི,འཐུང་བ
འཐུང་བས,འཐུང་བ
འཐུལ་བའི,འཐུལ་བ
འཐུལ་བས,འཐུལ་བ
འཐུས་པའི,འཐུས་པ
འཐུས་པར,འཐུས་པ
འཐེན་པའི,འཐེན་པ
འཐེབ་པའི,འཐེབ་པ
འཐོན་པའི,འཐོན་པ
འཐོབ་པར,འཐོབ་པ
འཐོམས་པའི,འཐོམས་པ
འཐོར་བའི,འཐོར་བ
འཐོར་བར,འཐོར་བ
འཐོར་བས,འཐོར་བ
ད་གར,ད་ག
ད་ལྟའི,ད་ལྟ
ད་ལྟར,ད་ལྟ
དག་ཆའི,དག་ཆ
དག་པའི,དག་པ
དག་པར,དག་པ
དག་པས,དག་པ
དག་མའི,དག་མ
དང་གར,དང་ག
དང་བར,དང་བ
དང་ལས,དང་ལ
དད་པའི,དད་པ
དད་པར,དད་པ
དད་པས,དད་པ
དམ་བཅའི,དམ་བཅའ
དམ་བཅས,དམ་བཅའ
དམ་པའི,དམ་པ
དམ་པར,དམ་པ
དམ་པས,དམ་པ
དར་ཆའི,དར་ཆ
དར་བའི,དར་བ
དར་བར,དར་བ
དར་བས,དར་བ
དར་མའི,དར་མ
དར་མར,དར་མ
དར་མས,དར་མ
དལ་བའི,དལ་བ
དལ་བས,དལ་བ
དུ་བའི,དུ་བ
དུ་བར,དུ་བ
དུ་བས,དུ་བ
དུ་མའི,དུ་མ
དུ་མར,དུ་མ
དུ་མས,དུ་མ
དུག་རྩྭའི,དུག་རྩྭ
དུང་བའི,དུང་བ
དུངས་པའི,དུངས་པ
དུངས་པར,དུངས་པ
དུད་ཁར,དུད་ཁ
དུད་པའི,དུད་པ
དུད་པས,དུད་པ
དུབ་པའི,དུབ་པ
དུས་བྱས,དུས་བྱ
དེ་གའི,དེ་ག
དེ་གར,དེ་ག
དེ་གས,དེ་ག
དེ་དགའི,དེ་དག
དེ་སྒྲའི,དེ་སྒྲ
དེ་ལྟའི,དེ་ལྟ
དེ་ལྟར,དེ་ལྟ
དེ་བར,དེ་བ
དེ་བས,དེ་བ
དེང་གི་ཆར,དེང་གི་ཆ
དེད་པའི,དེད་པ
དེད་པས,དེད་པ
དེས་ནས,དེས་ན
དོ་ཟླའི,དོ་ཟླ
དོགས་པའི,དོགས་པ
དོགས་པས,དོགས་པ
དོད་པའི,དོད་པ
དོད་པར,དོད་པ
དོད་པས,དོད་པ
དོར་བའི,དོར་བ
དོར་མའི,དོར་མ
དྭངས་པར,དྭངས་པ
དྭངས་པས,དྭངས་པ
དྭངས་མའི,དྭངས་མ
དྭངས་མར,དྭངས་མ
དྲ་བའི,དྲ་བ
དྲ་བར,དྲ་བ
དྲ་བས,དྲ་བ
དྲག་ནས,དྲག་ན
དྲག་པའི,དྲག་པ
དྲག་པར,དྲག་པ
དྲག་པས,དྲག་པ
དྲགས་པའི,དྲགས་པ
དྲགས་པས,དྲགས་པ
དྲངས་པའི,དྲངས་པ
དྲངས་པར,དྲངས་པ
དྲངས་པས,དྲངས་པ
དྲན་པའི,དྲན་པ
དྲན་པར,དྲན་པ
དྲན་པས,དྲན་པ
དྲི་བའི,དྲི་བ
དྲི་བར,དྲི་བ
དྲི་མས,དྲི་མ
དྲི་ཟའི,དྲི་ཟ
དྲིས་པའི,དྲིས་པ
དྲིས་པར,དྲིས་པ
དྲིས་པས,དྲིས་པ
དྲུབ་པའི,དྲུབ་པ
དྲུབ་པར,དྲུབ་པ
དྲེག་པར,དྲེག་པ
དྲེགས་པའི,དྲེགས་པ
དྲོ་བར,དྲོ་བ
དྲོ་བས,དྲོ་བ
གདགས་པའི,གདགས་པ
གདན་ཆས,གདན་ཆ
གདན་སའི,གདན་ས
གདན་སར,གདན་ས
གདབ་པར,གདབ་པ
གདམ་པའི,གདམ་པ
གདམ་པར,གདམ་པ
གདམས་པའི,གདམས་པ
གདམས་པར,གདམས་པ
གདུ་བའི,གདུ་བ
གདུང་བའི,གདུང་བ
གདུང་བར,གདུང་བ
གདུང་བས,གདུང་བ
གདུལ་བྱའི,གདུལ་བྱ
གདུལ་བྱར,གདུལ་བྱ
གདུས་པའི,གདུས་པ
གདུས་པར,གདུས་པ
གདོད་མའི,གདོད་མ
གདོད་མར,གདོད་མ
བདག་སྒྲའི,བདག་སྒྲ
བདམས་པའི,བདམས་པ
བདམས་པར,བདམས་པ
བདམས་པས,བདམས་པ
བདའ་བར,བདའ་བ
བདར་བའི,བདར་བ
བདར་བས,བདར་བ
བདས་པའི,བདས་པ
བདེ་བའི,བདེ་བ
བདེ་བར,བདེ་བ
བདེ་བས,བདེ་བ
བདེ་རྩའི,བདེ་རྩ
བདེན་པའི,བདེན་པ
བདེན་པར,བདེན་པ
བདོ་བའི,བདོ་བ
མདའ་པའི,མདའ་པ
མདུན་སར,མདུན་ས
མདོར་ནས,མདོར་ན
འདག་པར,འདག་པ
འདང་བའི,འདང་བ
འདང་བས,འདང་བ
འདབ་མའི,འདབ་མ
འདམ་པའི,འདམ་པ
འདམ་རའི,འདམ་ར
འདའ་ཁའི,འདའ་ཁ
འདའ་བའི,འདའ་བ
འདའ་བར,འདའ་བ
འདར་བའི,འདར་བ
འདར་བར,འདར་བ
འདས་པའི,འདས་པ
འདས་པར,འདས་པ
འདས་པས,འདས་པ
འདི་གའི,འདི་ག
འདི་གར,འདི་ག
འདི་གས,འདི་ག
འདི་འདྲའི,འདི་འདྲ
འདི་པས,འདི་པ
འདིང་བར,འདིང་བ
འདུ་བའི,འདུ་བ
འདུ་བར,འདུ་བ
འདུ་སའི,འདུ་ས
འདུག་པའི,འདུག་པ
འདུག་པར,འདུག་པ
འདུག་པས,འདུག་པ
འདུག་སར,འདུག་ས
འདུད་པར,འདུད་པ
འདུན་པའི,འདུན་པ
འདུན་པས,འདུན་པ
འདུན་མའི,འདུན་མ
འདུལ་བའི,འདུལ་བ
འདུལ་བར,འདུལ་བ
འདུལ་བས,འདུལ་བ
འདུས་པའི,འདུས་པ
འདུས་པར,འདུས་པ
འདུས་པས,འདུས་པ
འདུས་སའི,འདུས་ས
འདེགས་པར,འདེགས་པ
འདེད་པའི,འདེད་པ
འདེབས་པའི,འདེབས་པ
འདེབས་པར,འདེབས་པ
འདོགས་པའི,འདོགས་པ
འདོགས་པར,འདོགས་པ
འདོད་པའི,འདོད་པ
འདོད་པར,འདོད་པ
འདོད་པས,འདོད་པ
འདོན་པའི,འདོན་པ
འདོན་པར,འདོན་པ
འདོན་པས,འདོན་པ
འདོམས་པའི,འདོམས་པ
འདོམས་པར,འདོམས་པ
འདྲ་བའི,འདྲ་བ
འདྲ་བར,འདྲ་བ
འདྲ་བས,འདྲ་བ
འདྲི་བའི,འདྲི་བ
འདྲི་བར,འདྲི་བ
འདྲིས་པའི,འདྲིས་པ
འདྲིས་པར,འདྲིས་པ
འདྲུད་པའི,འདྲུད་པ
འདྲེད་པར,འདྲེད་པ
འདྲེན་པའི,འདྲེན་པ
འདྲེན་པར,འདྲེན་པ
འདྲེས་པའི,འདྲེས་པ
འདྲེས་པར,འདྲེས་པ
འདྲེས་པས,འདྲེས་པ
འདྲེས་མའི,འདྲེས་མ
འདྲེས་མར,འདྲེས་མ
འདྲེས་མས,འདྲེས་མ
འདྲོགས་པའི,འདྲོགས་པ
འདྲོང་བར,འདྲོང་བ
རྡུང་བའི,རྡུང་བ
རྡུང་བས,རྡུང་བ
རྡོ་བའི,རྡོ་བ
རྡོ་བར,རྡོ་བ
རྡོག་པས,རྡོག་པ
རྡོལ་བའི,རྡོལ་བ
ལྡག་པའི,ལྡག་པ
ལྡང་བའི,ལྡང་བ
ལྡང་བས,ལྡང་བ
ལྡན་པའི,ལྡན་པ
ལྡན་པར,ལྡན་པ
ལྡན་པས,ལྡན་པ
ལྡིང་བའི,ལྡིང་བ
ལྡིར་སྒྲའི,ལྡིར་སྒྲ
ལྡིར་བའི,ལྡིར་བ
ལྡུམ་རའི,ལྡུམ་ར
ལྡེམ་པའི,ལྡེམ་པ
ལྡོག་པའི,ལྡོག་པ
ལྡོག་པར,ལྡོག་པ
ལྡོག་ཟླར,ལྡོག་ཟླ
སྡང་བའི,སྡང་བ
སྡང་བར,སྡང་བ
སྡར་མར,སྡར་མ
སྡིག་པའི,སྡིག་པ
སྡིངས་ཆའི,སྡིངས་ཆ
སྡུག་པའི,སྡུག་པ
སྡུད་པའི,སྡུད་པ
སྡེ་པར,སྡེ་པ
སྡེབ་པའི,སྡེབ་པ
སྡེར་མའི,སྡེར་མ
སྡོད་པའི,སྡོད་པ
སྡོད་པར,སྡོད་པ
སྡོད་སའི,སྡོད་ས
སྡོམ་པའི,སྡོམ་པ
སྡོམ་པས,སྡོམ་པ
བརྡབས་པའི,བརྡབས་པ
བརྡར་བའི,བརྡར་བ
བརྡར་བས,བརྡར་བ
བརྡུང་བའི,བརྡུང་བ
བརྡེག་པར,བརྡེག་པ
བརྡོལ་བའི,བརྡོལ་བ
བརྡོལ་བར,བརྡོལ་བ
བརྡོལ་བས,བརྡོལ་བ
བསྡད་པའི,བསྡད་པ
བསྡད་པར,བསྡད་པ
བསྡད་པས,བསྡད་པ
བསྡམ་པའི,བསྡམ་པ
བསྡམས་པའི,བསྡམས་པ
བསྡམས་པས,བསྡམས་པ
བསྡུ་བའི,བསྡུ་བ
བསྡུ་བར,བསྡུ་བ
བསྡུ་བས,བསྡུ་བ
བསྡུམས་པའི,བསྡུམས་པ
བསྡུས་གྲྭའི,བསྡུས་གྲྭ
བསྡུས་པའི,བསྡུས་པ
བསྡུས་པར,བསྡུས་པ
བསྡུས་པས,བསྡུས་པ
བསྡེབས་པའི,བསྡེབས་པ
བསྡེབས་པས,བསྡེབས་པ
བསྡོམས་པའི,བསྡོམས་པ
བསྡོམས་པར,བསྡོམས་པ
བསྡོམས་པས,བསྡོམས་པ
ན་བའི,ན་བ
ན་ཚའི,ན་ཚ
ན་བཟའི,ན་བཟའ
ནང་པའི,ནང་པ
ནང་པར,ནང་པ
ནང་མའི,ནང་མ
ནང་མར,ནང་མ
ནང་ཤའི,ནང་ཤ
ནངས་པར,ནངས་པ
ནད་པའི,ནད་པ
ནད་པར,ནད་པ
ནད་ཞི་བར,ནད་ཞི་བ
ནམ་མཁའི,ནམ་མཁའ
ནམ་མཁར,ནམ་མཁའ
ནམ་ཟླའི,ནམ་ཟླ
ནར་མར,ནར་མ
ནུབ་པའི,ནུབ་པ
ནུབ་པས,ནུབ་པ
ནུབ་མའི,ནུབ་མ
ནུས་པའི,ནུས་པ
ནུས་པར,ནུས་པ
ནུས་པས,ནུས་པ
ནོར་བའི,ནོར་བ
ནོར་བས,ནོར་བ
ནོར་ལྷའི,ནོར་ལྷ
གནག་པའི,གནག་པ
གནག་པས,གནག་པ
གནམ་སའི,གནམ་ས
